,DSSd00_1,DSSd00_2,DSSd00_3,DSSd07_1,DSSd07_2,DSSd07_3
Gm22566,16,10,10,14,15,9
Mir7000,5,1,6,1,3,2
Mir6715,14,17,10,8,9,7
Gm23055,23,21,22,14,12,10
Gm24759,3,0,1,0,0,0
Gm22975,12,7,9,10,11,10
Gm24108,29,22,21,33,35,24
Gm25776,60,56,56,39,45,47
Gm25412,48,34,35,58,67,58
Gm25869,2,3,4,0,3,3
Gm24020,6,4,4,9,9,6
n-R5s102,3,0,2,0,2,1
AC124606.2,40,41,35,26,44,34
Gm44360,10,8,11,9,16,14
Olfr290,3,6,1,4,4,4
n-R5s30,43,36,41,54,53,58
Gm22442,11,14,8,28,20,20
Gm26445,0,0,0,1,2,1
Gm24119,1,0,0,1,0,2
Gm25230,0,0,1,1,1,0
Gm26067,21,17,22,20,19,29
Mir701,0,1,1,1,0,0
Gm25124,79,83,95,55,54,55
Mir8098,23,26,34,23,22,31
Gm27549,1,1,1,2,4,2
Gm24883,102,74,82,84,114,88
Gm24154,140,141,150,213,247,234
Mir7115,0,0,0,0,1,1
Gm44376,0,6,6,5,4,1
Mir421,8,10,13,13,9,12
Gm22021,9,9,7,6,9,8
Gm25203,7,20,13,25,23,25
Gm27316,40,26,22,27,34,29
Gm25201,3,3,4,7,10,9
Gm23167,8,3,5,6,3,6
Mir5126,170,146,165,130,136,145
Rnu11,27,40,33,22,6,20
Gm26021,9,8,8,8,5,4
Gm26283,22,20,15,25,24,7
Gm23119,108,111,111,162,158,173
Gm27754,12,11,9,7,14,16
Gm25562,1,0,1,0,1,0
Csprs,3,1,3,3,4,4
AC140325.2,4,2,6,0,1,1
Gm24977,20,13,16,18,22,21
Mir28a,8,6,3,3,3,6
Gm44352,95,97,82,127,125,121
Gm25698,0,0,2,1,0,0
Gm24945,13,15,10,8,14,18
Gm23240,22,9,10,4,8,8
Gm22311,10,5,8,15,14,11
Gm22590,4,2,0,3,2,3
Gm23771,66,46,65,64,58,62
Gm24300,64,52,52,80,49,60
Gm44387,95,99,160,163,150,117
Gm24854,0,0,3,4,4,0
Gm24726,0,1,0,1,0,0
Gm24781,10,14,9,18,7,8
Gm22200,3,2,1,0,0,2
Gm24276,4,5,3,2,1,10
Snord14a,14,13,5,10,15,14
Mir6915,9,15,23,13,10,11
Mir6938,14,16,14,24,28,19
Mir195b,4,8,9,6,20,6
Mir28b,64,88,92,270,183,227
Gm26323,231,194,258,152,180,95
Mir871,255,217,189,239,254,245
Mir26a-2,0,0,1,0,1,0
Gm22254,87,84,89,92,97,78
Gm25951,6,15,9,7,7,7
Gm22194,9,9,15,7,14,9
Mir147,117,95,105,126,150,120
Gm24813,2,3,1,7,3,3
Gm25024,63,72,82,65,70,57
Gm22482,539,464,560,527,471,481
Mir7234,15,11,20,13,14,16
Gm3893,25,23,21,32,28,23
Gm23025,2,2,0,1,1,1
Gm24294,8,8,9,8,5,7
n-R5s168,7,3,5,13,10,7
Gm25200,9,8,7,3,6,10
Gm44318,1,1,1,0,1,0
CT868723.1,20,10,9,14,11,11
Gm27875,17,13,18,10,12,9
Nkx2-2os,1,6,5,2,6,3
Mir7226,2,7,3,1,1,4
Gm25481,2,1,0,0,0,0
Gm23642,163,212,143,78,81,52
Mir9-2,2,7,0,2,0,2
Gm22693,4,4,1,6,6,7
Gm23758,71,57,73,63,73,65
Gm23144,94,110,102,85,89,80
Gm22680,24,16,13,27,13,16
Gm44471,6,4,8,5,5,5
Gm17542,45,47,24,30,31,34
Gm22430,18,9,9,16,20,9
Gm22612,3,2,5,1,2,1
Mir214,47,33,40,48,44,24
Mir184,95,84,108,71,88,55
Mir129-2,22,28,31,31,26,14
Gm24811,15,27,11,12,16,15
Gm23791,0,1,1,1,0,0
Gm23550,10,8,3,11,12,5
Gm24810,69,53,61,78,70,58
Mir694,351,339,469,402,632,315
Gm23233,22,20,28,12,7,11
Gm24378,37,45,35,37,40,35
Gm24940,1,1,2,0,0,0
Mir34c,39,41,39,32,20,29
Gm25717,3,6,2,6,1,3
Mir302d,1,1,2,0,0,0
Gm24543,0,1,1,0,0,0
Gm23679,16,10,9,14,23,15
Mir5136,5,8,6,4,3,4
Mir6947,7,7,7,9,5,6
Gm25311,0,1,0,1,0,0
Gm17364,108,88,99,153,123,122
Gm26083,47,31,39,56,41,36
n-R5s5,1,0,1,1,0,1
Mir1945,116,102,118,73,120,79
Gm26014,32,34,31,12,18,7
Gm22948,0,1,0,1,2,0
Gm17450,3,4,6,7,5,7
Gm24109,15,7,19,9,21,10
Gm25171,6,3,2,3,3,6
Gm21738,6,5,10,4,7,2
Gm24189,23,23,13,11,18,22
Gm24179,7,6,6,10,14,15
Gm23014,7,9,10,9,8,0
n-R5s12,6,4,1,5,9,5
Gm27450,59,47,65,44,52,68
Vmn1r186,6,6,4,6,7,7
Mir200b,6,15,6,7,4,2
Rprl3,5,3,5,6,6,5
Gm22602,18,18,17,23,25,26
Gm22454,1,0,0,0,0,1
Mir6904,1,1,5,2,2,0
Mir7215,24,18,34,20,32,29
Gm25107,62,55,57,150,105,132
Gm24171,43,39,28,31,40,35
Gm22798,0,0,0,2,1,0
Mir872,6,4,6,1,4,4
Gm26168,3,1,9,2,2,1
Gm25162,96,98,105,132,122,120
Gm24391,5,2,4,4,6,2
Gm25597,0,0,1,2,1,0
Gm24578,0,1,1,0,2,0
Gm22974,0,0,1,1,0,0
Snora69,6,7,2,9,13,12
Gm23536,143,137,127,124,131,104
Snord96a,73,98,102,90,117,82
Mir669a-12,3,1,1,2,0,1
Gm23094,0,0,1,0,2,0
Gm22026,18,26,30,21,16,21
Gm27597,55,50,50,54,58,56
Gm23452,2,1,5,2,4,2
Gm25646,3,4,4,1,5,4
Gm26230,19,29,36,27,41,26
Gm25263,1,0,0,1,2,1
Snora21,141,129,127,187,128,202
Gm26413,24,16,14,22,14,22
Mirlet7c-1,14,7,13,15,11,8
Gm25830,11,11,5,12,10,17
Gm23231,11,9,13,10,14,15
Gm25134,13,6,9,19,6,9
Gm27300,1,0,1,0,1,0
Gm25704,12,11,24,28,22,48
Gm26018,38,41,49,68,59,40
Gm27373,0,1,1,0,1,0
Gm25435,42,48,57,59,60,53
Gm25898,25,40,35,22,26,19
Gm22174,1,2,0,0,0,1
Gm25129,0,0,1,1,0,0
Gm44324,7,10,5,9,17,9
