,DSSd00_1,DSSd00_2,DSSd00_3,DSSd07_1,DSSd07_2,DSSd07_3
4930425K24Rik,0,1,2,0,0,0
4930426I24Rik,3,3,5,0,4,1
4930426L09Rik,2,5,4,3,5,3
4930428E07Rik,10,12,9,8,4,5
4930428O21Rik,37,55,83,51,55,47
4930429C20Rik,11,28,13,22,20,28
4930429D17Rik,37,32,32,33,33,33
4930429P21Rik,36,37,41,39,47,26
4930431F12Rik,7,8,3,16,4,17
4930431P22Rik,5,7,5,12,4,6
4930432E11Rik,16,21,17,15,13,16
4930432M17Rik,17,21,22,9,22,24
4930433B08Rik,1,1,2,3,0,2
4930433N12Rik,3,1,5,2,5,3
4930435C17Rik,66,70,76,80,69,80
4930438E09Rik,22,17,21,30,26,26
4930440I19Rik,45,29,40,49,53,49
4930441H08Rik,47,31,53,37,48,43
4930442L01Rik,16,16,18,18,21,24
4930442P19Rik,16,17,17,23,17,19
4930443O20Rik,3,2,6,7,2,3
4930445B16Rik,1,0,1,1,0,1
4930447A16Rik,251,280,230,212,223,183
4930447M23Rik,52,53,58,33,30,23
4930447N08Rik,1,1,1,0,0,0
4930448D08Rik,14,19,16,8,4,6
4930448H16Rik,8,3,9,8,4,6
4930449C09Rik,0,1,0,1,1,0
4930451E10Rik,21,14,31,29,23,29
4930451I11Rik,5,13,8,15,9,10
4930453C13Rik,19,20,19,20,26,16
4930453H23Rik,19,17,16,24,33,23
4930455H04Rik,110,103,100,91,59,65
4930455J16Rik,47,47,55,49,23,34
4930458A03Rik,17,15,18,19,19,19
4930459C07Rik,3,4,7,7,7,3
4930461C15Rik,2,5,4,0,6,3
4930463O16Rik,34,36,31,28,26,26
4930467D21Rik,66,83,71,85,99,84
4930469K13Rik,4,9,6,8,18,8
4930471C04Rik,52,54,50,53,59,60
4930471D02Rik,7,4,1,2,1,4
4930471E15Rik,18,17,17,26,23,18
4930471G03Rik,77,76,74,67,79,85
4930473A02Rik,20,23,17,19,18,26
4930477E14Rik,0,2,1,0,2,0
4930478L05Rik,5,5,5,10,1,5
4930478M09Rik,25,28,30,32,30,28
4930480G23Rik,0,0,1,1,1,0
4930486L24Rik,26,25,24,26,36,30
4930486N12Rik,1,3,4,0,3,0
4930488L21Rik,1,3,3,1,1,0
4930488N15Rik,1,0,0,1,1,0
4930488N24Rik,20,32,28,35,34,30
4930500F10Rik,96,52,70,86,59,46
4930500L23Rik,2,3,3,3,3,1
4930502C17Rik,6,14,4,8,4,4
4930503B20Rik,19,17,16,15,10,18
4930503E14Rik,22,30,19,14,25,17
4930503H13Rik,2,3,1,0,0,1
4930503L19Rik,1,0,0,1,0,2
4930503O07Rik,4,2,1,0,1,4
4930504C09Rik,3,5,2,1,2,0
4930504D19Rik,0,0,0,2,3,1
4930507D05Rik,35,28,24,36,30,24
4930509K18Rik,0,1,6,5,1,2
4930511E03Rik,16,13,13,12,6,10
4930511J24Rik,3,1,1,1,1,0
4930511M06Rik,33,37,32,38,21,28
4930511O05Rik,79,69,68,103,65,78
4930512J16Rik,2,0,4,3,0,2
4930512M02Rik,1,0,1,1,2,3
4930512P04Rik,5,3,2,3,9,4
4930513D17Rik,20,15,14,32,29,33
4930513N20Rik,35,44,41,36,64,42
4930513O06Rik,462,439,408,342,368,279
4930516B21Rik,5,10,5,10,13,5
4930517J16Rik,1,2,3,1,0,0
4930517O19Rik,12,7,13,14,13,8
4930518C09Rik,0,0,0,3,1,0
4930518I17Rik,11,10,8,27,16,20
4930518J20Rik,15,26,17,4,11,9
4930518J21Rik,52,29,41,43,55,53
4930518P08Rik,0,1,2,1,2,0
4930519D14Rik,24,23,26,31,26,33
4930519F09Rik,3,5,5,4,10,5
4930519G04Rik,1,0,1,0,0,0
4930520K02Rik,17,11,17,23,20,12
4930520M14Rik,9,2,5,8,5,0
4930520P13Rik,46,35,54,30,53,29
4930522H14Rik,55,53,43,64,72,81
4930522L14Rik,0,1,0,0,1,0
4930524B17Rik,58,63,45,24,23,18
4930524C18Rik,13,18,11,13,11,10
4930525C09Rik,81,58,73,105,106,113
4930526A20Rik,0,1,1,1,1,2
4930526M16Rik,42,31,59,23,28,22
4930527J03Rik,1,0,2,1,1,3
4930528H21Rik,64,42,58,68,73,77
4930529N20Rik,137,143,138,131,140,127
4930532G15Rik,11,9,8,8,5,7
4930533B01Rik,5,10,8,7,2,5
4930533K18Rik,48,38,62,74,81,68
4930534D22Rik,5,8,6,10,9,3
4930535E02Rik,12,5,6,8,4,4
4930535L15Rik,4,2,3,3,5,5
4930538E20Rik,3,3,1,5,2,2
4930538L07Rik,0,0,0,0,1,1
4930539C22Rik,5,6,0,2,3,3
4930540I17Rik,11,12,17,29,29,19
4930540M03Rik,0,1,1,0,0,0
4930542D17Rik,148,138,144,159,180,174
4930543I11Rik,16,11,10,13,8,10
4930544I03Rik,3,0,6,1,0,1
4930545L23Rik,0,3,0,2,0,1
4930547E14Rik,13,9,9,9,12,14
4930547H16Rik,256,299,302,374,301,365
4930548H24Rik,18,10,25,19,20,10
4930549C15Rik,2,0,2,0,2,3
4930550C14Rik,5,2,2,4,2,3
4930550C17Rik,16,23,21,21,13,15
4930551I15Rik,7,2,4,4,9,6
4930551L18Rik,54,41,53,37,42,28
4930551O13Rik,1,3,1,2,2,4
4930553E22Rik,20,11,17,16,24,27
4930553J12Rik,1,0,2,0,0,2
4930553M12Rik,0,1,0,1,1,0
4930553P18Rik,0,0,0,1,2,3
4930554G24Rik,1,2,0,1,1,1
4930555F03Rik,7,7,9,6,9,7
4930555G01Rik,46,39,37,29,36,36
4930555G07Rik,19,20,15,14,17,10
4930555K19Rik,0,1,1,2,0,0
4930556C24Rik,1,1,2,1,4,2
4930556G01Rik,1,0,0,5,6,6
4930556H04Rik,3,3,4,5,6,2
4930556I23Rik,95,78,91,78,111,105
4930556J24Rik,0,3,2,2,0,1
4930557F08Rik,4,0,1,2,2,0
4930558J18Rik,7,8,7,9,4,8
4930558K02Rik,7,17,16,10,3,3
4930558N11Rik,0,1,0,0,0,1
4930562C15Rik,8,8,7,6,12,4
4930562D21Rik,33,35,36,34,37,43
4930563E22Rik,6,7,7,11,5,15
4930563H07Rik,45,31,35,41,40,44
4930563J15Rik,1,1,2,3,3,5
4930564C03Rik,19,24,31,24,18,14
4930565N06Rik,0,1,3,2,1,3
4930566N20Rik,1,0,3,1,0,0
4930568A12Rik,31,37,35,38,49,48
4930570D08Rik,2,1,0,1,0,1
4930570N18Rik,34,38,44,36,21,35
4930571N24Rik,5,5,5,1,6,3
4930572K03Rik,0,0,2,1,2,1
4930572O13Rik,0,0,0,0,1,1
4930578I07Rik,8,15,8,13,12,10
4930578M01Rik,4,2,1,5,2,5
4930583I09Rik,19,19,42,27,32,26
4930583P06Rik,1,0,0,0,0,1
4930584F24Rik,28,15,20,15,28,22
4930588D02Rik,54,49,47,43,50,33
4930588K23Rik,21,12,22,23,17,15
4930590L14Rik,1,0,1,1,0,0
4930590L20Rik,18,9,11,21,18,12
4930591E09Rik,23,21,20,15,21,20
4930593C16Rik,15,14,9,15,15,15
4930594C11Rik,17,30,21,31,24,17
4930594M17Rik,1,4,0,13,41,8
4930595D18Rik,0,4,1,1,0,4
4930595M18Rik,13,14,17,9,16,13
4930596D02Rik,74,92,101,102,120,98
4930597L12Rik,91,92,101,98,79,65
4930598F16Rik,2,4,2,0,2,2
4930598N05Rik,3,1,2,0,3,1
4930599A14Rik,9,16,11,22,21,22
4930599N23Rik,0,0,0,1,1,1
4930599N24Rik,33,26,44,33,32,51
4931406B18Rik,17,17,12,12,14,2
4931406G06Rik,0,0,0,0,1,1
4931407E12Rik,227,232,233,302,317,318
4931408C20Rik,0,2,0,1,1,0
4931412I15Rik,1,0,0,1,0,0
4931413I07Rik,22,27,14,22,23,23
4931413K12Rik,1,1,0,0,0,2
4931417E11Rik,9,0,3,0,0,0
4931420L22Rik,44,28,37,28,44,43
4931422A03Rik,5,1,4,4,3,2
4931429L15Rik,19,19,19,23,18,26
4931431C16Rik,39,45,46,48,36,33
4932411N23Rik,32,13,13,17,21,25
4932416K20Rik,3,1,6,1,1,0
4932422M17Rik,10,6,10,13,7,12
4932431L22Rik,1,0,5,1,2,0
4932431P20Rik,63,60,65,33,40,26
4932435O22Rik,0,0,0,6,2,1
4932438A13Rik,7,9,8,9,4,6
4932441J04Rik,607,621,649,843,833,1035
4932442E05Rik,13,12,11,15,9,14
4933400F21Rik,35,30,35,27,43,52
4933400L20Rik,3,5,2,7,4,7
4933401D09Rik,5,5,5,13,12,15
4933401H06Rik,10,10,4,11,13,12
4933401J01Rik,2,1,3,2,5,2
4933402D24Rik,2,1,1,0,0,1
4933402J07Rik,10,3,6,10,11,13
4933402N03Rik,215,208,205,224,290,187
4933403L11Rik,2,1,0,0,0,0
4933404K13Rik,0,1,0,1,0,1
4933404O12Rik,95,84,75,72,84,67
4933405E24Rik,13,17,9,5,12,6
4933405L10Rik,194,162,186,219,151,149
4933405O20Rik,10,12,10,14,15,10
4933406B15Rik,12,3,8,5,2,5
4933406F09Rik,1,0,2,0,0,3
4933406J09Rik,35,45,50,50,45,30
4933406J10Rik,10,16,11,4,8,5
4933406L23Rik,1,0,1,0,0,0
4933407I05Rik,2,0,1,1,1,1
4933411E06Rik,0,1,0,0,0,2
4933411K16Rik,11,9,5,14,11,16
4933412E24Rik,39,26,41,27,26,27
4933413L06Rik,1,4,5,2,4,3
4933415A04Rik,148,169,162,218,178,181
4933416I08Rik,46,46,52,63,53,70
4933416M07Rik,1,0,0,0,0,4
4933417D19Rik,0,0,0,1,2,1
4933417O13Rik,56,55,58,60,56,54
4933421A08Rik,6,8,10,10,6,3
4933421I07Rik,7,2,5,1,1,1
4933421O10Rik,32,24,38,34,29,31
4933422A05Rik,1,0,1,0,1,0
4933423L19Rik,0,1,2,0,5,2
4933424H11Rik,0,2,0,1,0,1
4933426B08Rik,0,1,0,0,1,0
4933427I04Rik,127,144,144,129,141,131
4933427I22Rik,146,173,149,165,113,123
4933428M09Rik,11,20,7,5,5,6
4933429O19Rik,194,178,190,236,247,190
4933430A20Rik,86,106,99,130,119,111
4933430N04Rik,3,1,2,1,2,0
4933431K14Rik,8,0,8,3,3,3
4933432K03Rik,1,3,3,8,8,6
4933433F19Rik,3,2,3,3,2,2
4933433G08Rik,6,4,3,2,7,4
4933433H22Rik,9,6,3,8,7,7
4933434P08Rik,6,14,9,12,19,13
4933436I20Rik,5,1,4,5,7,6
4933438B17Rik,10,16,16,11,18,6
4933438K21Rik,10,14,10,11,13,13
4933439C10Rik,1,1,0,0,2,1
4933439J24Rik,9,11,9,6,12,8
4933440J02Rik,40,43,37,59,57,52
4933440M02Rik,2,0,0,1,1,3
4933440N22Rik,22,31,16,22,21,20
5031425E22Rik,11,11,8,13,15,16
5031434C07Rik,0,2,1,0,1,0
5031434O11Rik,27,17,26,23,21,25
5033403F01Rik,0,1,0,0,0,1
5033403H07Rik,35,24,25,30,38,18
5033406O09Rik,2,0,0,0,2,0
5033417F24Rik,18,16,13,20,14,12
5033424D13Rik,38,32,37,45,36,35
