"","DSSd00_1","DSSd00_2","DSSd00_3","DSSd07_1","DSSd07_2","DSSd07_3"
"Acat2",13,8,11,22,24,9
"Acbd3",47,46,44,56,53,63
"Acbd4",12,9,7,8,12,1
"Acbd5",40,34,35,26,34,37
"Acbd6",25,16,22,19,17,18
"Acd",10,11,10,14,11,15
"Ace",23,26,34,30,31,24
"Ace2",8,3,3,9,5,15
"Acer1",23,30,22,29,17,24
"Acer2",4,3,9,7,5,8
"Acer3",11,11,8,10,11,16
"Ache",14,10,6,9,3,3
"Acin1",74,79,84,109,91,72
"Ackr3",21,14,6,9,11,11
"Ackr4",16,9,13,11,15,9
"Acly",235,169,186,165,211,168
"Acnat1",8,8,12,5,10,10
"Aco1",83,56,83,87,81,58
"Aco2",366,327,347,313,310,272
"Acot11",48,54,55,58,30,38
"Acot13",11,5,21,16,14,12
"Acot4",7,3,13,3,9,5
"Acot7",54,49,47,43,50,33
"Acot8",40,32,22,39,34,21
"Acot9",11,6,6,13,11,17
"Acox1",338,300,375,407,392,318
"Acox3",33,25,27,31,40,32
"Acp1",11,6,6,11,11,18
"Acp2",25,28,12,30,42,23
"Acp5",105,150,149,120,152,109
"Acp6",36,41,35,32,32,27
"Acpp",7,1,3,15,7,13
"Acsf2",280,229,236,128,224,127
"Acsf3",24,36,28,23,29,26
"Acsl1",40,41,32,24,24,20
"Acsl3",116,102,118,73,120,79
"Acsl4",10,14,11,18,26,22
"Acsl5",69,58,60,82,74,80
"Acsm3",44,28,30,22,41,41
"Acss1",88,69,72,67,74,60
"Acss2",79,68,67,57,83,59
"Acta1",8,8,10,14,18,12
"Acta2",757,624,719,676,979,610
"Actb",1884,1701,1982,2244,2324,1960
"Actg1",120,125,132,128,135,82
"Actg2",348,291,356,378,759,328
"Actl6a",22,18,20,21,18,16
"Actn1",170,156,170,197,218,192
"Actn4",595,600,603,805,736,597
"Actr10",39,26,29,32,27,47
"Actr1a",124,106,112,139,128,122
"Actr1b",122,110,134,121,148,114
"Actr2",170,109,156,175,157,188
"Actr3",72,59,79,126,95,119
"Actr3-ps",50,37,36,46,48,48
"Actr5",5,8,9,9,6,8
"Actr8",12,19,10,22,23,8
"Acvr1",11,22,17,19,23,17
"Acvr1b",99,96,107,89,88,91
"Acvr1c",5,8,2,1,7,6
"Acvr2a",20,18,18,20,26,29
"Acvrl1",31,25,28,29,30,27
"Acy1",28,20,12,9,19,18
"Acy3",7,12,14,4,6,7
"Ada",8,10,5,6,5,12
"Adam10",83,73,72,119,107,147
"Adam15",57,71,67,61,87,40
"Adam17",19,27,20,35,22,35
"Adam19",17,14,17,27,27,19
"Adam23",8,10,13,13,9,12
"Adam9",67,55,53,57,53,74
"Adamdec1",434,426,499,503,528,490
"Adamts1",4,8,14,10,18,3
"Adamts15",10,6,11,7,6,4
"Adamts2",10,5,17,24,15,17
"Adamts4",0,1,4,16,11,6
"Adamtsl1",11,8,13,10,6,4
"Adamtsl4",8,13,14,14,15,8
"Adamtsl5",7,14,12,10,7,7
"Adap1",80,73,80,58,57,46
"Adar",36,43,51,54,71,48
"Adck1",5,7,5,11,9,6
"Adck2",18,22,23,19,22,12
"Adck5",66,81,68,45,85,44
"Adcy3",7,8,10,4,11,8
"Adcy5",52,46,60,33,36,24
"Adcy6",205,201,174,161,140,128
"Adcy7",5,8,3,6,8,8
"Adcy9",16,9,16,9,11,13
